Date,Value
189501,29.4
189601,29.0
189701,29.8
189801,34.4
189901,30.3
190001,31.7
190101,32.0
190201,29.9
190301,29.9
190401,24.2
190501,27.7
190601,36.8
190701,33.3
190801,31.4
190901,33.5
191001,30.5
191101,35.2
191201,23.6
191301,40.7
191401,31.4
191501,34.3
191601,35.8
191701,32.7
191801,21.6
191901,35.5
192001,23.9
192101,33.9
192201,28.7
192301,30.0
192401,32.7
192501,28.5
192601,32.0
192701,31.0
192801,34.0
192901,32.0
193001,33.4
193101,32.8
193201,43.3
193301,40.4
193401,34.5
193501,28.9
193601,29.4
193701,40.3
193801,32.2
193901,32.3
194001,25.1
194101,29.5
194201,30.8
194301,30.8
194401,34.0
194501,25.3
194601,34.2
194701,37.2
194801,25.3
194901,38.4
195001,41.4
195101,36.2
195201,35.9
195301,37.4
195401,30.5
195501,30.9
195601,32.0
195701,28.5
195801,31.9
195901,31.2
196001,33.9
196101,27.4
196201,32.2
196301,29.8
196401,35.3
196501,29.3
196601,31.9
196701,37.0
196801,26.3
196901,31.4
197001,24.8
197101,26.6
197201,34.7
197301,35.1
197401,34.8
197501,36.9
197601,27.0
197701,21.6
197801,27.6
197901,32.3
198001,33.0
198101,25.1
198201,25.0
198301,33.4
198401,28.7
198501,27.7
198601,33.0
198701,31.8
198801,29.0
198901,36.8
199001,40.8
199101,34.3
199201,35.2
199301,35.8
199401,25.0
199501,37.5
199601,30.8
199701,32.4
199801,40.3
199901,34.2
200001,31.6
200101,33.9
200201,40.2
200301,27.8
200401,25.0
200501,31.6
200601,41.2
200701,37.8
200801,36.8
200901,28.2
201001,32.8
201101,30.0
201201,37.6
201301,35.4
201401,28.7
201501,30.0
201601,34.5
201701,38.1
201801,31.8
